panid	units	On	Sdate	Zon	A0_5	A6_18	A19_65	A65	Gen	FS	ABS	C_Dis	MFSD	price1	price2	price3	price4	price5	price6	price7	price8	br1	br2	br3	br4	br5	br6	br7	br8	NP
2	0	1	15678	3	0	1	3	0	1	4	76.38	0.1	0.1	0.71	1.11	2.12	1.41	1.00	0.65	2.12	2.45	0	0	0	0	0	0	0	0	1
2	0	0	15679	1	0	1	3	0	1	4	76.38	0.1	0.1	0.68	1.06	2.16	1.35	0.97	0.65	2.16	2.35	0	0	0	0	0	0	0	0	1
2	0	0	15682	1	0	1	3	0	1	4	76.38	0.1	0.1	0.68	1.06	2.16	1.35	0.97	0.65	2.16	2.35	0	0	0	0	0	0	0	0	1
2	0	0	15691	1	0	1	3	0	1	4	76.38	0.1	0.1	0.68	1.06	2.16	1.35	0.97	0.78	2.16	2.35	0	0	0	0	0	0	0	0	1
2	0	1	15698	3	0	1	3	0	1	4	76.38	0.1	0.1	0.71	1.11	2.22	1.35	1.00	0.81	2.22	2.45	0	0	0	0	0	0	0	0	1
2	0	0	15704	1	0	1	3	0	1	4	76.38	0.1	0.1	0.68	1.06	2.16	1.35	0.97	0.78	2.16	2.35	0	0	0	0	0	0	0	0	1
2	0	0	15705	1	0	1	3	0	1	4	76.38	0.1	0.1	0.68	1.06	2.16	1.35	0.97	0.78	2.16	2.35	0	0	0	0	0	0	0	0	1
2	0	0	15712	1	0	1	3	0	1	4	76.38	0.1	0.1	0.68	1.06	2.16	1.35	0.97	0.78	2.16	2.35	0	0	0	0	0	0	0	0	1
2	0	0	15713	1	0	1	3	0	1	4	76.38	0.1	0.1	0.68	1.06	2.16	1.35	0.97	0.78	2.16	2.35	0	0	0	0	0	0	0	0	1
2	0	1	15725	3	0	1	3	0	1	4	76.38	0.1	0.1	0.71	1.11	2.22	1.41	1.00	0.81	2.22	2.45	0	0	0	0	0	0	0	0	1
2	0	0	15732	1	0	1	3	0	1	4	76.38	0.1	0.1	0.68	1.06	2.16	1.35	0.97	0.78	2.16	2.35	0	0	0	0	0	0	0	0	1
2	0	0	15734	1	0	1	3	0	1	4	76.38	0.1	0.1	0.68	1.06	2.16	1.35	0.97	0.78	2.16	2.35	0	0	0	0	0	0	0	0	1
2	0	0	15737	1	0	1	3	0	1	4	76.38	0.1	0.1	0.68	1.06	2.16	1.35	0.97	0.78	2.16	2.35	0	0	0	0	0	0	0	0	1
2	0	0	15740	1	0	1	3	0	1	4	76.38	0.1	0.1	0.66	1.06	1.99	1.35	0.97	0.69	2.16	2.35	0	0	0	0	0	0	0	0	1
2	0	0	15746	1	0	1	3	0	1	4	76.38	0.1	0.1	0.66	1.06	1.99	1.35	0.97	0.69	2.16	2.49	0	0	0	0	0	0	0	0	1
2	0	1	15748	3	0	1	3	0	1	4	76.38	0.1	0.1	0.66	0.99	1.99	1.35	1.00	0.69	2.22	2.55	0	0	0	0	0	0	0	0	1
2	0	0	15754	1	0	1	3	0	1	4	76.38	0.1	0.1	0.66	1.06	1.99	1.35	0.91	0.78	2.16	2.49	0	0	0	0	0	0	0	0	1
2	0	0	15758	1	0	1	3	0	1	4	76.38	0.1	0.1	0.66	1.06	1.99	1.35	0.91	0.78	2.16	2.49	0	0	0	0	0	0	0	0	1
2	0	0	15767	1	0	1	3	0	1	4	76.38	0.1	0.1	0.68	0.99	2.16	1.35	0.91	0.78	2.16	2.49	0	0	0	0	0	0	0	0	1
2	0	1	15768	3	0	1	3	0	1	4	76.38	0.1	0.1	0.71	0.99	2.22	1.41	0.94	0.81	2.22	2.55	0	0	0	0	0	0	0	0	1
2	0	0	15776	1	0	1	3	0	1	4	76.38	0.1	0.1	0.68	0.99	2.16	1.35	0.91	0.78	2.16	2.49	0	0	0	0	0	0	0	0	1
2	0	0	15782	1	0	1	3	0	1	4	76.38	0.1	0.1	0.68	0.99	2.16	1.35	0.91	0.78	2.16	2.49	0	0	0	0	0	0	0	0	1
2	0	1	15791	3	0	1	3	0	1	4	76.38	0.1	0.1	0.71	0.99	2.22	1.41	0.94	0.81	2.22	2.55	0	0	0	0	0	0	0	0	1
2	0	0	15805	1	0	1	3	0	1	4	76.38	0.1	0.1	0.68	1.06	2.16	1.39	0.84	0.69	2.16	2.19	0	0	0	0	0	0	0	0	1
